ticket_text,true_category,predicted_top3_tags
It would help to have an offline mode on iOS.,Feature Request,"['Feature Request', 'Technical Issue', 'Bug Report']"
Can you add an export to Excel option for the analytics report?,Feature Request,"['Feature Request', 'Bug Report', 'Billing']"
The reports module is completely unresponsive on the web app.,Technical Issue,"['Technical Issue', 'Bug Report', 'Feature Request']"
Two-factor authentication code is not being sent to my phone.,Account Access,"['Technical Issue', 'Billing', 'Feature Request']"
Can you add a way to schedule recurring team reports?,Feature Request,"['Feature Request', 'Billing', 'Technical Issue']"
Do you offer a student or non-profit discount?,General Inquiry,"['General Inquiry', 'Feature Request', 'Billing']"
"Please update my payment method, my card on file expired.",Billing,"['Billing', 'Technical Issue', 'Feature Request']"
Can you add an export to Excel option for the billing report?,Feature Request,"['Feature Request', 'Bug Report', 'Billing']"
The dashboard module is completely unresponsive on Mac.,Technical Issue,"['Technical Issue', 'Bug Report', 'Feature Request']"
The app keeps crashing every time I open the analytics screen.,Technical Issue,"['Technical Issue', 'Bug Report', 'Feature Request']"
The reports chart shows negative values that should be impossible.,Bug Report,"['Bug Report', 'Feature Request', 'Technical Issue']"
Can I migrate my data from another tool to yours?,General Inquiry,"['Feature Request', 'Billing', 'General Inquiry']"
Filters on the reports page reset themselves randomly.,Bug Report,"['Bug Report', 'Technical Issue', 'Feature Request']"
The settings chart shows negative values that should be impossible.,Bug Report,"['Bug Report', 'Technical Issue', 'Feature Request']"
The settings module is completely unresponsive on Mac.,Technical Issue,"['Technical Issue', 'Bug Report', 'Feature Request']"
I need to change the email address linked to my account.,Account Access,"['Feature Request', 'Account Access', 'Technical Issue']"
Why did my Enterprise plan price increase without any notice?,Billing,"['Billing', 'Technical Issue', 'Feature Request']"
The team module is completely unresponsive on the web app.,Technical Issue,"['Technical Issue', 'Bug Report', 'Feature Request']"
Clicking the save button on iOS duplicates the entry.,Bug Report,"['Bug Report', 'Technical Issue', 'Feature Request']"
I was charged in the wrong currency for my Premium plan.,Billing,"['Billing', 'Bug Report', 'Technical Issue']"
"I was charged twice for my Basic subscription this month, please refund me.",Billing,"['Billing', 'Feature Request', 'Technical Issue']"
I want to cancel my subscription but I'm still being billed.,Billing,"['Billing', 'Feature Request', 'Technical Issue']"
The app shows my name in the wrong language on iOS.,Bug Report,"['Bug Report', 'Technical Issue', 'Billing']"
It would be great if you could add dark mode to the analytics page.,Feature Request,"['Feature Request', 'Bug Report', 'Technical Issue']"
Is there a mobile app available for the web app?,General Inquiry,"['General Inquiry', 'Technical Issue', 'Feature Request']"
